112-1554270-8363442	 : 33155-5545
112-5166858-2669850	 : 47438-1530
111-4861948-0821045	 : 90005-3705
113-6845365-3767448	 : 22401-4661
113-0544141-8487460	 : 95112-4216
111-6677773-8621063	 : 21060-7002
113-6184564-7457824	 : 55445-2298
114-3273712-8732265	 : 30014-0957
114-1576309-9669844	 : 28803-6632
111-1660426-5464210	 : 19149-2106
112-2461861-4053833	 : 44304-1759-90
114-6547910-4436263	 : 78748-1357
113-9051885-5915439	 : 78681-2736
114-8448720-1361823	 : 11109-5673
114-4165881-3697814	 : 23113-7331
112-9317927-2407426	 : 92310
114-2091932-1689012	 : 40003-7087
111-4391143-8063437	 : 90020-1564
114-9535653-4918625	 : 98031-1101
112-4815630-2628266	 : 17347-9225
111-9391932-2319406	 : 34241-7118
114-4734969-7213813	 : 93552
111-4573583-8221023	 : 97201-3246
113-8259902-4475401	 : 95403-1035
111-7941381-8697837	 : 30144-2703
112-3091177-3708217	 : 30046-7706
112-5024987-7647465	 : 32162-2161
112-9653045-3433027	 : 08080-2423
114-5664991-8980210	 : 38571
112-3489777-5702661	 : 55044
112-1150215-0362616	 : 92860-2704
112-0720316-9477805	 : 90066
111-1556779-9966628	 : 46807-2168
112-5469464-3321031	 : 29585
112-7978545-7028227	 : 77002-2711
114-4198597-6383432	 : 68102-1151
111-2300501-5509052	 : 80128-4553
111-8803208-7717838	 : 91214
113-9382699-0757058	 : 60659-2023
112-0158739-2987432	 : 60467-5675
111-4417487-3495451	 : 03087-1945
112-2992566-8548245	 : 75056-3668
111-4102938-3213822	 : 21117
111-7223088-1520201	 : 77079-2404
114-0543939-7152255	 : 59044-8300
111-7430381-4129803	 : 92677-3774
113-2562886-1988229	 : 10016-3300
114-5259284-3898610	 : 93944
114-7622953-1301810	 : 94588-3260
113-3886369-0425868	 : 34787-5505
111-5418223-7776208	 : 89502-4621
112-9510903-5047424	 : 58731
111-9370370-9597053	 : 84111-4903
111-3059367-5525860	 : 30622
112-1962877-7243400	 : 80022-4615
113-3440320-1646661	 : 37143-5075
112-4746550-0555463	 : 95050-3336
113-4105135-5539405	 : 85747
111-5559773-1753804	 : 98107-4631
111-2366313-3971401	 : 96822
113-7468343-4322617	 : 11372
112-3561116-3252252	 : 32712-4403
114-0035800-1824200	 : 78748-4808
114-6913055-3603439	 : 54562-9125
112-9136484-4496229	 : 23456-6859
113-0237607-7445879	 : 62223-4307
114-5679371-1283437	 : 46706-9139
114-9659216-2538643	 : 45239-7107
111-0346569-7017021	 : 19104-3539
113-4001097-8773841	 : 44302-1603
111-9638192-0221814	 : 30506-6951
114-0405615-8983415	 : 59750-9722
111-2704590-3832214	 : 10011-5614
114-2981693-7598664	 : 10038-3901
113-4768708-2288230	 : 05401-4795
114-2679785-9305059	 : 43952
113-3508849-0132230	 : 20147-4039
114-1844970-9535407	 : 94102-2715
113-3349562-8709864	 : 00719-3081
114-8084952-4549865	 : 19073-3701
111-3308406-2612269	 : 78747-4085
112-9616580-8545827	 : 49047
112-9385961-3933004	 : 23226-1907
114-5401951-6493051	 : 53185-5117
113-9471808-4906669	 : 07080-1113
113-0184176-9036204	 : 33756
114-8456012-7573007	 : 14120-2410
113-2770206-3075458	 : 50061-5807
112-4732823-2324206	 : 98402
113-6171029-5739439	 : 77011-2307
111-3186096-8273804	 : 61705-8736
112-2117613-2088234	 : 02719-3048
114-9367649-3917866	 : 23139-4818
113-5130498-9947429	 : 95678-3958
111-7528065-6355401	 : 98043
112-1821792-7401840	 : 92692-4056
114-2641504-7465805	 : 78701-2722
114-5191991-9879465	 : 75201-2216
113-1516444-2930636	 : 98902-5903
111-8699106-6017006	 : 50125-1801
111-0159004-9801875	 : 72704
111-2787148-1584248	 : 70510
114-3074994-3109809	 : 30622
111-0460961-4824216	 : 76126-3525
111-2186497-3207449	 : 21061-6363
111-6800134-3754605	 : 34104-5744
111-3963226-8299400	 : 76001-7239
112-3642357-3077849	 : 33012
112-1307075-7164250	 : 15212-5823
113-8967398-1580234	 : 23234-5036
113-0608719-0320225	 : 62294-1438
112-2933244-4909022	 : 19973-8466
112-9637200-2445012	 : 98255
111-0726753-0932223	 : 15108-3198
113-3839298-0838656	 : 53072-3435
112-7864995-2916245	 : 11211-1836
113-1471416-7585804	 : 94010-1805
113-4808999-0721832	 : 33183-5217
113-4775982-2701046	 : 19107-5509
112-0157519-3234633	 : 44129-5617
113-0081414-1045075	 : 10040-4603
113-4678347-4871453	 : 02176-2507
112-2346319-5800215	 : 93003-7261
111-9087152-3899461	 : 59524
112-6699024-7353047	 : 30666-1861
112-0608963-2061822	 : 41091
114-1903160-8268246	 : 15063-9752
114-3190971-6247429	 : 55337-2473
114-7952786-9863417	 : 77381
112-0423840-2601801	 : 30324
113-5760092-5866663	 : 79902-1201
112-1298496-5433859	 : 32812-2432
112-9723982-4530626	 : 60616-3696
111-2027702-4346644	 : 19382-5367
112-9385627-6389068	 : 83843-8505
112-6632617-9488245	 : 02575
113-7339541-2491402	 : 91740-5136
113-1642649-7713010	 : 22153-3023
111-2399339-8686616	 : 33309-6313
114-9843055-7321005	 : 29510
111-3524398-0242612	 : 50208
114-0941954-2359431	 : 30043-4022
112-7212684-3274620	 : 68025-0801
114-4085530-7248222	 : 21613-4425
114-9114573-5745053	 : 49331-1365
112-2242466-3424257	 : 53051-2045
114-6354804-6530613	 : 97045
111-5758146-5840264	 : 33312
114-9287871-6958656	 : 37186-2975
112-2379054-5994644	 : 90211-2723
114-8737687-8225042	 : 90059-3026
111-4992378-7442668	 : 04856-5963
111-7350711-9689033	 : 01810
114-3858424-3513854	 : 38804-5963
111-9804156-3465036	 : 92887
114-6978911-8231420	 : 21237-2054
114-9071064-2501019	 : 97201-4878
113-6294903-4944219	 : 46373-8614
114-2042779-6086654	 : 78626
112-6103972-8793032	 : 20006-4102
113-9990786-5111454	 : 20009-2627
113-7172358-1028253	 : 37064-4704
111-5909478-6949050	 : 91360-2660
111-1284288-3109063	 : 48203
113-3993606-1344250	 : 11237-3559
112-6347581-0317802	 : 97210-5198
111-2875069-6833843	 : 08360-4318
111-9544504-7494629	 : 22033-3873
114-9315548-2741055	 : 11741
114-3517566-4172269	 : 60126
111-8280928-9517053	 : 00719-0601
113-2515281-3265057	 : 77030-2312
114-0784686-7568218	 : 07090
111-0643520-7549030	 : 98409-7348
114-8976914-4397019	 : 94304-1019
